representation,episode_id,episode_order,query_id,query_occurrence,decision_status,action,predicted_gain_log2,predicted_rank,actual_gain_log2,actual_rank,selected_action
sql_structural,q01_event_value_desc::run-1,1,q01_event_value_desc,1,outside_reference_coverage,increase_gac_work_mem,0.009430907327397861,3,0.0389910134517095,3,False
sql_structural,q01_event_value_desc::run-1,1,q01_event_value_desc,1,outside_reference_coverage,regional_topk_candidates,3.259312651569929,2,0.148442525949881,2,False
sql_structural,q01_event_value_desc::run-1,1,q01_event_value_desc,1,outside_reference_coverage,mitigate_remote_path_bundle,3.2851932981456375,1,2.4389637619025195,1,False
sql_structural,q02_event_value_asc::run-1,2,q02_event_value_asc,1,available,increase_gac_work_mem,0.038988989815286416,3,0.1150579244177509,3,False
sql_structural,q02_event_value_asc::run-1,2,q02_event_value_asc,1,available,regional_topk_candidates,0.14870537834688535,2,0.1636418321928228,2,False
sql_structural,q02_event_value_asc::run-1,2,q02_event_value_asc,1,available,mitigate_remote_path_bundle,2.439051509070019,1,0.9620528956614378,1,True
sql_structural,q02_event_value_asc::run-2,3,q02_event_value_asc,2,available,increase_gac_work_mem,0.038988989815286416,3,-0.0663499323728781,3,False
sql_structural,q02_event_value_asc::run-2,3,q02_event_value_asc,2,available,regional_topk_candidates,0.14870537834688535,2,0.0124944675739018,2,False
sql_structural,q02_event_value_asc::run-2,3,q02_event_value_asc,2,available,mitigate_remote_path_bundle,2.439051509070019,1,0.8193133052714852,1,True
sql_structural,q03_event_recent::run-1,4,q03_event_recent,1,outside_reference_coverage,increase_gac_work_mem,0.023440019847531413,3,0.0074479246782218,3,False
sql_structural,q03_event_recent::run-1,4,q03_event_recent,1,outside_reference_coverage,regional_topk_candidates,1.3248995737148181,2,0.0486212889871827,2,False
sql_structural,q03_event_recent::run-1,4,q03_event_recent,1,outside_reference_coverage,mitigate_remote_path_bundle,2.1378762949968926,1,2.074180777894477,1,False
sql_structural,q03_event_recent::run-2,5,q03_event_recent,2,outside_reference_coverage,increase_gac_work_mem,0.023440019847531413,3,-0.1048447833628063,3,False
sql_structural,q03_event_recent::run-2,5,q03_event_recent,2,outside_reference_coverage,regional_topk_candidates,1.3248995737148181,2,-0.0141682721267147,2,False
sql_structural,q03_event_recent::run-2,5,q03_event_recent,2,outside_reference_coverage,mitigate_remote_path_bundle,2.1378762949968926,1,1.9117449342238144,1,False
sql_structural,q03_event_recent::run-3,6,q03_event_recent,3,outside_reference_coverage,increase_gac_work_mem,0.023440019847531413,3,-0.0002791294905142,2,False
sql_structural,q03_event_recent::run-3,6,q03_event_recent,3,outside_reference_coverage,regional_topk_candidates,1.3248995737148181,2,-0.0585418455250905,3,False
sql_structural,q03_event_recent::run-3,6,q03_event_recent,3,outside_reference_coverage,mitigate_remote_path_bundle,2.1378762949968926,1,1.9700639210944435,1,False
sql_structural,q04_event_oldest::run-1,7,q04_event_oldest,1,available,increase_gac_work_mem,-0.03255727376228346,3,0.0094718463899962,2,False
sql_structural,q04_event_oldest::run-1,7,q04_event_oldest,1,available,regional_topk_candidates,-0.008027529950110343,2,-0.0141705521924664,3,False
