episode_id,query_id,strict_best_action,runner_up_action,winner_margin_log2,tie_acceptable_actions,strict_winner_repeat_count,gain__increase_gac_work_mem,gain__regional_topk_candidates,gain__mitigate_remote_path_bundle
confirmatory::q16_event_value_squared,q16_event_value_squared,mitigate_remote_path_bundle,regional_topk_candidates,0.36910391143353305,mitigate_remote_path_bundle,5,0.0060824447796626905,1.8955946596505742,2.264698571084107
confirmatory::q17_event_log_value,q17_event_log_value,regional_topk_candidates,mitigate_remote_path_bundle,0.1422002404011935,regional_topk_candidates,5,0.004059846656188627,2.6240748728034045,2.481874632402211
confirmatory::q18_event_recent_high_value,q18_event_recent_high_value,mitigate_remote_path_bundle,regional_topk_candidates,0.9468339373530061,mitigate_remote_path_bundle,5,0.0004003444414566093,1.773856703706942,2.720690641059948
confirmatory::q19_event_old_low_value,q19_event_old_low_value,mitigate_remote_path_bundle,regional_topk_candidates,0.8226861320956287,mitigate_remote_path_bundle,5,-0.01565499209012576,1.9103453877299699,2.7330315198255986
confirmatory::q20_event_tenant_weighted,q20_event_tenant_weighted,mitigate_remote_path_bundle,regional_topk_candidates,0.526439574410855,mitigate_remote_path_bundle,5,-0.001080629775810293,1.6587190886894552,2.18515866310031
confirmatory::q21_tenant_value_range,q21_tenant_value_range,regional_topk_candidates,mitigate_remote_path_bundle,0.2033955682968993,regional_topk_candidates,5,-0.020072526480201414,2.7714495122330693,2.56805394393617
confirmatory::q22_tenant_distinct_users,q22_tenant_distinct_users,regional_topk_candidates,mitigate_remote_path_bundle,1.0697012905075165,regional_topk_candidates,5,-0.008677696787107461,3.555959268613438,2.4862579781059213
confirmatory::q23_tenant_even_user_count,q23_tenant_even_user_count,regional_topk_candidates,mitigate_remote_path_bundle,1.635146184186873,regional_topk_candidates,5,0.015058962894251333,4.3105287566330395,2.6753825724461664
confirmatory::q24_tenant_midband_sum,q24_tenant_midband_sum,mitigate_remote_path_bundle,regional_topk_candidates,0.33066585315578223,mitigate_remote_path_bundle,5,0.0005768633135637768,2.0149384597613245,2.3456043129171067
confirmatory::q25_tenant_day_avg,q25_tenant_day_avg,mitigate_remote_path_bundle,regional_topk_candidates,2.2932381357936693,mitigate_remote_path_bundle,5,0.014905720466904209,0.21110754376475907,2.5043456795584285
confirmatory::q26_tenant_hour_count,q26_tenant_hour_count,mitigate_remote_path_bundle,regional_topk_candidates,2.008836672773642,mitigate_remote_path_bundle,5,0.01491955722392457,0.2529047239556116,2.2617413967292537
confirmatory::q27_user_sum,q27_user_sum,regional_topk_candidates,mitigate_remote_path_bundle,0.29184825922003155,regional_topk_candidates,5,-0.007148659517147978,2.7658944387714453,2.4740461795514137
confirmatory::q28_user_count,q28_user_count,regional_topk_candidates,mitigate_remote_path_bundle,0.9097917607906711,regional_topk_candidates,5,0.012141863394636878,3.638995230860627,2.729203470069956
confirmatory::q29_user_value_range,q29_user_value_range,regional_topk_candidates,mitigate_remote_path_bundle,1.5887719636974098,regional_topk_candidates,5,-0.0023686660882451063,4.23526319081392,2.64649122711651
confirmatory::q30_user_day_sum,q30_user_day_sum,mitigate_remote_path_bundle,regional_topk_candidates,2.0987527505674457,mitigate_remote_path_bundle,5,-0.005392335917142827,0.19433854962301422,2.29309130019046
