pressure_axis,pair_id,variants,condition_count,physical_execution_count,dataset_profile_id,template_id,variant_execution_counts,pair_context_contract_valid,result_equivalence_status,structurally_complete_stressed_mitigated_pair,planned_counterfactual_pair
gac_finalization,pair-029769d7a614ec361d9ca8fc,"mitigated,stressed",2,6,pilot-balanced-v1,gac_fdw_multiregion_event_filter_summary,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-04c22a9fc525d1b277d0d920,"mitigated,stressed",2,6,raw-small-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-069d3fa047f7c6184464cd16,"mitigated,stressed",2,6,raw-large-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-0b435013a3aabec8cb733fab,"mitigated,stressed",2,6,pilot-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-0d2ba08b5d61e86c106e7dac,"mitigated,stressed",2,6,pilot-balanced-v1,gac_fdw_multiregion_event_filter_summary,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-0f3140749ce196dd71356d43,"mitigated,stressed",2,6,raw-small-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-12d76e59fa61657ede9a5645,"mitigated,stressed",2,6,raw-small-balanced-v1,"gac_fdw_coordinator_partial_user_topk,gac_fdw_coordinator_raw_user_topk","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-15f4fd594cb7851dffe211c9,"mitigated,stressed",2,6,pilot-balanced-v1,gac_fdw_coordinator_raw_user_topk,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-197f3754e8fc7f33437c3e23,"mitigated,stressed",2,6,pilot-balanced-v1,"gac_fdw_coordinator_raw_event_topk,gac_fdw_coordinator_regional_event_topk","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-19f2336351be34b7a7e1a6ab,"mitigated,stressed",2,6,raw-large-balanced-v1,"gac_fdw_coordinator_local_user_join,gac_fdw_coordinator_regional_user_join","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-2034afdb01f7315139905266,"mitigated,stressed",2,6,raw-small-balanced-v1,gac_fdw_multiregion_event_filter_summary,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-21c81f6894e355cd61af0d88,"mitigated,stressed",2,6,raw-small-balanced-v1,gac_fdw_multiregion_event_filter_summary,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-250ccfb451be987f237643d9,"mitigated,stressed",2,6,raw-large-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-25c6b4bfac4e9d78abb73f90,"mitigated,stressed",2,6,raw-large-balanced-v1,"gac_fdw_coordinator_raw_distinct_users,gac_fdw_coordinator_regional_distinct_users","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-25e985b6230c3b396eae2ff7,"mitigated,stressed",2,6,pilot-balanced-v1,"gac_fdw_coordinator_local_user_join,gac_fdw_coordinator_regional_user_join","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-26e5ee4f1a73cf2e37c2c0ce,"mitigated,stressed",2,6,raw-large-balanced-v1,"gac_fdw_coordinator_partial_user_topk,gac_fdw_coordinator_raw_user_topk","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-279b2355d7d8bfe4a2498bbd,"mitigated,stressed",2,6,pilot-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-2b09f813432464eb490c1e64,"mitigated,stressed",2,6,raw-large-balanced-v1,"gac_fdw_coordinator_raw_distinct_users,gac_fdw_coordinator_regional_distinct_users","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-2ce26eab2d775d5183040c62,"mitigated,stressed",2,6,pilot-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-2d0a83973a3266484f5e6d2b,"mitigated,stressed",2,6,raw-large-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-2ececece6ebe8e2fcecf1f1e,"mitigated,stressed",2,6,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-31f74cb13359b1cd443477b5,"mitigated,stressed",2,6,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-3234f319cb3b04165ef5b663,"mitigated,stressed",2,6,raw-large-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-3a67174ad470aceae256f159,"mitigated,stressed",2,6,raw-small-balanced-v1,"gac_fdw_coordinator_local_user_join,gac_fdw_coordinator_regional_user_join","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-3d958d2dceb435f8114f6f1b,"mitigated,stressed",2,6,raw-large-balanced-v1,"gac_fdw_coordinator_partial_user_topk,gac_fdw_coordinator_raw_user_topk","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-3f22c5187a371de52a513ae8,"mitigated,stressed",2,6,pilot-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-432693ccd955d2a42e6af5ef,"mitigated,stressed",2,6,pilot-balanced-v1,gac_fdw_coordinator_raw_user_topk,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-4496b933846d7b42fff2093e,"mitigated,stressed",2,6,raw-small-balanced-v1,"gac_fdw_coordinator_raw_distinct_users,gac_fdw_coordinator_regional_distinct_users","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-45c0d0eb1ef8ac1c9d460916,"mitigated,stressed",2,6,pilot-balanced-v1,"gac_fdw_coordinator_raw_event_topk,gac_fdw_coordinator_regional_event_topk","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-473af4027323593d71210cad,"mitigated,stressed",2,6,raw-large-balanced-v1,"gac_fdw_coordinator_raw_event_topk,gac_fdw_coordinator_regional_event_topk","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-4868fb3781dd8fd75eed1c19,"mitigated,stressed",2,6,raw-large-balanced-v1,"gac_fdw_coordinator_raw_event_topk,gac_fdw_coordinator_regional_event_topk","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-4a877d333e0b6c5c65ae7397,"mitigated,stressed",2,6,raw-small-balanced-v1,"gac_fdw_coordinator_raw_distinct_users,gac_fdw_coordinator_regional_distinct_users","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-4c0c8a84eafa891bb4864e1c,"mitigated,stressed",2,6,raw-small-balanced-v1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-4d68d2a6d4b3bb44566e7e9a,"mitigated,stressed",2,6,raw-small-balanced-v1,gac_fdw_multiregion_event_filter_summary,"{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
gac_finalization,pair-5220ae74d060ef47b73d888e,"mitigated,stressed",2,6,raw-small-balanced-v1,"gac_fdw_coordinator_partial_user_topk,gac_fdw_coordinator_raw_user_topk","{""mitigated"":3,""stressed"":3}",True,pending_execution,True,True
