matrix,feature,row_count,non_null_count,null_count,null_fraction,numeric_count,zero_count,distinct_non_null_count
m0,main_root_actual_total_time_ms,130,130,0,0.0,130,0,130
m0,main_root_actual_rows,130,130,0,0.0,130,0,1
m0,main_root_plan_rows,130,130,0,0.0,130,0,1
m0,main_total_cost,130,130,0,0.0,130,0,124
m0,has_foreign_scan,130,130,0,0.0,130,0,1
m0,has_custom_scan,130,130,0,0.0,130,130,1
m0,has_join,130,130,0,0.0,130,74,2
m0,has_sort,130,130,0,0.0,130,0,1
m0,has_hash,130,130,0,0.0,130,90,2
m0,has_aggregate,130,130,0,0.0,130,74,2
m0,has_limit,130,130,0,0.0,130,130,1
m0,has_materialize,130,130,0,0.0,130,124,2
m0,join_node_count,130,130,0,0.0,130,74,5
m0,hash_join_count,130,130,0,0.0,130,90,4
m0,merge_join_count,130,130,0,0.0,130,108,5
m0,nested_loop_count,130,130,0,0.0,130,130,1
m0,remote_path_share,130,130,0,0.0,130,0,130
m0,fdw_remote_sql_count,130,130,0,0.0,130,0,5
m0,fdw_remote_plan_count,130,130,0,0.0,130,0,6
m0,remote_region_actual_rows_sum,130,130,0,0.0,130,0,57
m0,remote_region_actual_rows_cv,130,130,0,0.0,130,130,1
m0,remote_region_actual_rows_max_share,130,130,0,0.0,130,0,1
m0,remote_region_actual_rows_min_max_ratio,130,130,0,0.0,130,0,1
m0,remote_region_actual_rows_active_share,130,130,0,0.0,130,0,1
m0,remote_region_zero_row_count,130,130,0,0.0,130,130,1
m0,remote_region_nonzero_count,130,130,0,0.0,130,0,1
m0,remote_region_tuple_bytes_sum,130,130,0,0.0,130,0,58
m0,remote_region_tuple_bytes_cv,130,130,0,0.0,130,130,1
m0,remote_region_tuple_bytes_max_share,130,130,0,0.0,130,0,1
m0,remote_region_tuple_bytes_min_max_ratio,130,130,0,0.0,130,0,1
m0,remote_region_tuple_bytes_active_share,130,130,0,0.0,130,0,1
m0,remote_region_task_count_sum,130,130,0,0.0,130,0,20
m0,remote_region_task_count_cv,130,130,0,0.0,130,130,1
m0,remote_region_task_count_max_share,130,130,0,0.0,130,0,1
m0,remote_region_task_count_min_max_ratio,130,130,0,0.0,130,0,1
m0,remote_region_task_count_active_share,130,130,0,0.0,130,0,1
m0,remote_region_plan_fingerprint_count,130,130,0,0.0,130,0,1
m0,remote_region_dominant_plan_fingerprint_share,130,130,0,0.0,130,0,1
m0,remote_plan_node_count_sum,130,130,0,0.0,130,0,5
m0,remote_plan_max_depth,130,130,0,0.0,130,56,2
m0,remote_has_custom_scan,130,130,0,0.0,130,0,1
m0,remote_has_sort,130,130,0,0.0,130,130,1
m0,remote_has_hash_join,130,130,0,0.0,130,130,1
m0,remote_actual_rows_sum,130,130,0,0.0,130,0,58
m0,global_fanin_ratio,130,130,0,0.0,130,0,57
m0,remote_to_final_rows_ratio,130,130,0,0.0,130,0,57
m0,finalize_share,130,130,0,0.0,130,0,130
m0,drf_bytes_proxy,130,130,0,0.0,130,0,64
m0,wan_output_rows,130,130,0,0.0,130,0,57
m0,wan_output_bytes_proxy,130,130,0,0.0,130,0,58
m0,regional_reduction_input_rows_proxy,130,130,0,0.0,130,0,76
m0,regional_reduction_input_bytes_proxy,130,130,0,0.0,130,0,77
m0,drf_rows_proxy,130,130,0,0.0,130,0,64
m0,wan_output_to_final_rows_ratio,130,130,0,0.0,130,0,57
m0,global_group_count_proxy,130,130,0,0.0,130,0,1
m0,global_group_density,130,130,0,0.0,130,0,57
m0,global_group_merge_ratio,130,130,0,0.0,130,0,57
m0,task_count_to_shard_count_ratio,130,130,0,0.0,130,0,7
m0,task_count_to_configured_region_shard_slots_ratio,130,130,0,0.0,130,0,7
m0,task_count_to_observed_region_shard_slots_ratio,130,130,0,0.0,130,0,7
m0,active_task_share,130,130,0,0.0,130,0,7
m0,tasks_per_worker_ratio,130,130,0,0.0,130,0,15
m0,temp_bytes_to_wan_bytes_ratio,130,130,0,0.0,130,77,54
m0,temp_blocks_per_wan_row,130,130,0,0.0,130,77,54
m0,temp_blocks_per_final_row,130,130,0,0.0,130,77,53
m0,temp_blocks_per_regional_input_row,130,130,0,0.0,130,77,54
m0,spill_per_wan_mb,130,130,0,0.0,130,77,54
m0,root_rows_estimate_error_log,130,130,0,0.0,130,130,1
m0,rows_estimate_error_max_abs_log,130,130,0,0.0,130,74,57
m0,rows_estimate_error_mean_abs_log,130,130,0,0.0,130,74,57
m0,foreign_scan_rows_estimate_error_log,130,130,0,0.0,130,74,53
m0,aggregate_rows_estimate_error_log,130,56,74,0.5692307692307692,56,56,1
m0,join_rows_estimate_error_log,130,56,74,0.5692307692307692,56,0,56
m0,sort_rows_estimate_error_log,130,130,0,0.0,130,108,23
m0,remote_root_rows_estimate_error_log,130,130,0,0.0,130,74,38
m0,temp_blocks_sum,130,130,0,0.0,130,77,53
m0,spill_flag,130,130,0,0.0,130,77,2
m0,external_sort_count,130,130,0,0.0,130,110,4
m0,sort_space_used_max,130,130,0,0.0,130,0,19
m0,hash_batches_max,130,130,0,0.0,130,0,8
m0,memory_pressure_score_v1,130,130,0,0.0,130,77,53
