evaluation,representation,episode_id,query_id,action,actual_gain_log2,actual_rank,predicted_gain_log2,predicted_rank,selected_action
E1,R1_sql_structural,q01_event_value_desc::run-1,q01_event_value_desc,increase_gac_work_mem,0.0389910134517095,3,0.009430907327397861,3,False
E1,R1_sql_structural,q01_event_value_desc::run-1,q01_event_value_desc,regional_topk_candidates,0.148442525949881,2,3.259312651569929,2,False
E1,R1_sql_structural,q01_event_value_desc::run-1,q01_event_value_desc,mitigate_remote_path_bundle,2.4389637619025195,1,3.2851932981456375,1,False
E1,R1_sql_structural,q02_event_value_asc::run-1,q02_event_value_asc,increase_gac_work_mem,0.1150579244177509,3,0.038988989815286416,3,False
E1,R1_sql_structural,q02_event_value_asc::run-1,q02_event_value_asc,regional_topk_candidates,0.1636418321928228,2,0.14870537834688535,2,False
E1,R1_sql_structural,q02_event_value_asc::run-1,q02_event_value_asc,mitigate_remote_path_bundle,0.9620528956614378,1,2.439051509070019,1,True
E1,R1_sql_structural,q03_event_recent::run-1,q03_event_recent,increase_gac_work_mem,0.0074479246782218,3,0.023440019847531413,3,False
E1,R1_sql_structural,q03_event_recent::run-1,q03_event_recent,regional_topk_candidates,0.0486212889871827,2,1.3248995737148181,2,False
E1,R1_sql_structural,q03_event_recent::run-1,q03_event_recent,mitigate_remote_path_bundle,2.074180777894477,1,2.1378762949968926,1,False
E1,R1_sql_structural,q04_event_oldest::run-1,q04_event_oldest,increase_gac_work_mem,0.0094718463899962,2,-0.03255727376228346,3,False
E1,R1_sql_structural,q04_event_oldest::run-1,q04_event_oldest,regional_topk_candidates,-0.0141705521924664,3,-0.008027529950110343,2,False
E1,R1_sql_structural,q04_event_oldest::run-1,q04_event_oldest,mitigate_remote_path_bundle,3.308023136004272,1,1.9853262676333974,1,True
E1,R1_sql_structural,q05_event_deviation::run-1,q05_event_deviation,increase_gac_work_mem,-0.2189988838292833,3,0.02923273789606568,3,False
E1,R1_sql_structural,q05_event_deviation::run-1,q05_event_deviation,regional_topk_candidates,1.6155677957074597,1,0.10824837671245668,2,False
E1,R1_sql_structural,q05_event_deviation::run-1,q05_event_deviation,mitigate_remote_path_bundle,1.2254340435854414,2,1.406809964171239,1,True
E1,R1_sql_structural,q06_tenant_sum::run-1,q06_tenant_sum,increase_gac_work_mem,-0.0113274524048228,3,0.009430907327397861,3,False
E1,R1_sql_structural,q06_tenant_sum::run-1,q06_tenant_sum,regional_topk_candidates,3.047649640005925,1,3.259312651569929,2,False
E1,R1_sql_structural,q06_tenant_sum::run-1,q06_tenant_sum,mitigate_remote_path_bundle,2.755693328342921,2,3.285193298145638,1,False
E1,R1_sql_structural,q07_tenant_count::run-1,q07_tenant_count,increase_gac_work_mem,0.0095142040035063,3,-0.01132722229834933,3,False
E1,R1_sql_structural,q07_tenant_count::run-1,q07_tenant_count,regional_topk_candidates,5.78740087138428,1,3.0476490364595286,1,True
E1,R1_sql_structural,q07_tenant_count::run-1,q07_tenant_count,mitigate_remote_path_bundle,4.358137982011629,2,2.755698369979692,2,False
E1,R1_sql_structural,q08_tenant_avg::run-1,q08_tenant_avg,increase_gac_work_mem,0.0206639435078385,3,0.0013600534482181232,3,False
E1,R1_sql_structural,q08_tenant_avg::run-1,q08_tenant_avg,regional_topk_candidates,4.495349709290721,1,4.926627909395114,1,True
E1,R1_sql_structural,q08_tenant_avg::run-1,q08_tenant_avg,mitigate_remote_path_bundle,1.3965019409035595,2,3.812232495847775,2,False
E1,R1_sql_structural,q09_tenant_max::run-1,q09_tenant_max,increase_gac_work_mem,-0.0098099219860758,3,0.02090847247337096,3,False
E1,R1_sql_structural,q09_tenant_max::run-1,q09_tenant_max,regional_topk_candidates,0.6178171990686502,2,4.7238944664097895,1,False
E1,R1_sql_structural,q09_tenant_max::run-1,q09_tenant_max,mitigate_remote_path_bundle,1.993424827708021,1,2.8078739320884276,2,False
E1,R1_sql_structural,q10_tenant_min::run-1,q10_tenant_min,increase_gac_work_mem,-0.0152279019519483,3,0.006711729571223382,3,False
E1,R1_sql_structural,q10_tenant_min::run-1,q10_tenant_min,regional_topk_candidates,1.5949990223674917,2,0.6744549850804935,2,False
E1,R1_sql_structural,q10_tenant_min::run-1,q10_tenant_min,mitigate_remote_path_bundle,3.3317455284481,1,1.947526020936219,1,True
E1,R1_sql_structural,q11_tenant_high_count::run-1,q11_tenant_high_count,increase_gac_work_mem,0.0937873302573581,3,0.0031776976642697197,3,False
E1,R1_sql_structural,q11_tenant_high_count::run-1,q11_tenant_high_count,regional_topk_candidates,1.689951973975143,1,1.0684091098519608,2,False
E1,R1_sql_structural,q11_tenant_high_count::run-1,q11_tenant_high_count,mitigate_remote_path_bundle,1.1890485176438446,2,2.5187466039944257,1,False
E1,R1_sql_structural,q12_tenant_user_sum::run-1,q12_tenant_user_sum,increase_gac_work_mem,0.0620501007483585,3,0.0031776976642697197,3,False
E1,R1_sql_structural,q12_tenant_user_sum::run-1,q12_tenant_user_sum,regional_topk_candidates,2.722186807479819,1,1.0684091098519608,2,False
E1,R1_sql_structural,q12_tenant_user_sum::run-1,q12_tenant_user_sum,mitigate_remote_path_bundle,2.60350925502538,2,2.5187466039944257,1,False
E1,R1_sql_structural,q13_tenant_user_count::run-1,q13_tenant_user_count,increase_gac_work_mem,-0.0169087536433568,3,0.054444198166143744,3,False
E1,R1_sql_structural,q13_tenant_user_count::run-1,q13_tenant_user_count,regional_topk_candidates,2.533280904815219,2,2.6823679838683954,1,True
E1,R1_sql_structural,q13_tenant_user_count::run-1,q13_tenant_user_count,mitigate_remote_path_bundle,3.582620675817098,1,2.4942473930007742,2,False
E1,R1_sql_structural,q14_tenant_day_sum::run-1,q14_tenant_day_sum,increase_gac_work_mem,0.0635345663129016,3,0.01888710910629754,3,False
