episode_id,round_id,query_id,logical_query_hash,topology_id,mitigation_action,baseline_query_run_id,action_query_run_id,baseline_elapsed_seconds,action_elapsed_seconds,target_log2_gain,result_equal
n2_control::q01_event_value_desc,n2_control,q01_event_value_desc,310585c8ca908d0dd5275dde782b189ac7354c2d3a1f3f808e83ef3dafa4093e,eu_us_gac,increase_gac_work_mem,20260806T013410Z-n3-topology-memory-v1-n2_control__to--4dae5c435433--6-06-30-00-00-00-00__limit_k-25__include_apac-False,20260806T012710Z-n3-topology-memory-v1-n2_control__to--ea0ab1a58cac--6-06-30-00-00-00-00__limit_k-25__include_apac-False,1.197887,1.186479,0.013805255244093238,True
n2_control::q01_event_value_desc,n2_control,q01_event_value_desc,310585c8ca908d0dd5275dde782b189ac7354c2d3a1f3f808e83ef3dafa4093e,eu_us_gac,regional_topk_candidates,20260806T013410Z-n3-topology-memory-v1-n2_control__to--4dae5c435433--6-06-30-00-00-00-00__limit_k-25__include_apac-False,20260806T013301Z-n3-topology-memory-v1-n2_control__to--24ed61843919--6-06-30-00-00-00-00__limit_k-25__include_apac-False,1.197887,1.042692,0.20017875693338733,True
n2_control::q01_event_value_desc,n2_control,q01_event_value_desc,310585c8ca908d0dd5275dde782b189ac7354c2d3a1f3f808e83ef3dafa4093e,eu_us_gac,mitigate_remote_path_bundle,20260806T013410Z-n3-topology-memory-v1-n2_control__to--4dae5c435433--6-06-30-00-00-00-00__limit_k-25__include_apac-False,20260806T013042Z-n3-topology-memory-v1-n2_control__to--fa6262763727--6-06-30-00-00-00-00__limit_k-25__include_apac-False,1.197887,0.166174,2.849725243923862,True
n2_control::q02_event_value_asc,n2_control,q02_event_value_asc,0a2cb0044b1e65e7356e0ddfd28a8c7c5f90a0c57a1c018cc567fd8ae053e58b,eu_us_gac,increase_gac_work_mem,20260806T012450Z-n3-topology-memory-v1-n2_control__to--d706b2e320dc---06-29-00-00-00-00__limit_k-100__include_apac-False,20260806T011931Z-n3-topology-memory-v1-n2_control__to--f07b595cb7b9---06-29-00-00-00-00__limit_k-100__include_apac-False,0.46649,0.380696,0.2932067433266397,True
n2_control::q02_event_value_asc,n2_control,q02_event_value_asc,0a2cb0044b1e65e7356e0ddfd28a8c7c5f90a0c57a1c018cc567fd8ae053e58b,eu_us_gac,regional_topk_candidates,20260806T012450Z-n3-topology-memory-v1-n2_control__to--d706b2e320dc---06-29-00-00-00-00__limit_k-100__include_apac-False,20260806T012417Z-n3-topology-memory-v1-n2_control__to--638cf56e0b3a---06-29-00-00-00-00__limit_k-100__include_apac-False,0.46649,0.35051,0.4123905501013155,True
n2_control::q02_event_value_asc,n2_control,q02_event_value_asc,0a2cb0044b1e65e7356e0ddfd28a8c7c5f90a0c57a1c018cc567fd8ae053e58b,eu_us_gac,mitigate_remote_path_bundle,20260806T012450Z-n3-topology-memory-v1-n2_control__to--d706b2e320dc---06-29-00-00-00-00__limit_k-100__include_apac-False,20260806T012155Z-n3-topology-memory-v1-n2_control__to--dbc2c6cb7aab---06-29-00-00-00-00__limit_k-100__include_apac-False,0.46649,0.17673,1.4002991959725188,True
n2_control::q03_event_recent,n2_control,q03_event_recent,103816223390607dc69118af636dad298c818617bfce8e9037bf2d58b927b051,eu_us_gac,increase_gac_work_mem,20260806T011637Z-n3-topology-memory-v1-n2_control__to--b30b8a3db9f4---06-24-00-00-00-00__limit_k-250__include_apac-False,20260806T011147Z-n3-topology-memory-v1-n2_control__to--b79e94854b6c---06-24-00-00-00-00__limit_k-250__include_apac-False,0.912952,0.935613,-0.03537289748436278,True
n2_control::q03_event_recent,n2_control,q03_event_recent,103816223390607dc69118af636dad298c818617bfce8e9037bf2d58b927b051,eu_us_gac,regional_topk_candidates,20260806T011637Z-n3-topology-memory-v1-n2_control__to--b30b8a3db9f4---06-24-00-00-00-00__limit_k-250__include_apac-False,20260806T011711Z-n3-topology-memory-v1-n2_control__to--3958eceb082d---06-24-00-00-00-00__limit_k-250__include_apac-False,0.912952,0.904799,0.012941675228188593,True
n2_control::q03_event_recent,n2_control,q03_event_recent,103816223390607dc69118af636dad298c818617bfce8e9037bf2d58b927b051,eu_us_gac,mitigate_remote_path_bundle,20260806T011637Z-n3-topology-memory-v1-n2_control__to--b30b8a3db9f4---06-24-00-00-00-00__limit_k-250__include_apac-False,20260806T011413Z-n3-topology-memory-v1-n2_control__to--3b9b91bc7ec8---06-24-00-00-00-00__limit_k-250__include_apac-False,0.912952,0.270003,1.75756357293255,True
n2_control::q04_event_oldest,n2_control,q04_event_oldest,c3d91b2920a74ade62b28eb247eb3b65854d78456aaf4ddf84657b9c10719f34,eu_us_gac,increase_gac_work_mem,20260806T013336Z-n3-topology-memory-v1-n2_control__to--699bb2f75248---06-17-00-00-00-00__limit_k-500__include_apac-False,20260806T012745Z-n3-topology-memory-v1-n2_control__to--7be6dc587900---06-17-00-00-00-00__limit_k-500__include_apac-False,2.801037,2.757524,0.022587598354844644,True
n2_control::q04_event_oldest,n2_control,q04_event_oldest,c3d91b2920a74ade62b28eb247eb3b65854d78456aaf4ddf84657b9c10719f34,eu_us_gac,regional_topk_candidates,20260806T013336Z-n3-topology-memory-v1-n2_control__to--699bb2f75248---06-17-00-00-00-00__limit_k-500__include_apac-False,20260806T013441Z-n3-topology-memory-v1-n2_control__to--e2db589bc341---06-17-00-00-00-00__limit_k-500__include_apac-False,2.801037,2.654315,0.07762144841525188,True
n2_control::q04_event_oldest,n2_control,q04_event_oldest,c3d91b2920a74ade62b28eb247eb3b65854d78456aaf4ddf84657b9c10719f34,eu_us_gac,mitigate_remote_path_bundle,20260806T013336Z-n3-topology-memory-v1-n2_control__to--699bb2f75248---06-17-00-00-00-00__limit_k-500__include_apac-False,20260806T013009Z-n3-topology-memory-v1-n2_control__to--a4b4ee2caf59---06-17-00-00-00-00__limit_k-500__include_apac-False,2.801037,0.25831,3.4387856397108623,True
n2_control::q05_event_deviation,n2_control,q05_event_deviation,a8f3388bb09e719bae97bfc84c4a0a624df5224b1ea226aecb1aec5b26ea4cfe,eu_us_gac,increase_gac_work_mem,20260806T002645Z-n3-topology-memory-v1-n2_control__to--a974eff5e4d3--6-06-30-00-00-00-00__limit_k-50__include_apac-False,20260806T001950Z-n3-topology-memory-v1-n2_control__to--062396a662cf--6-06-30-00-00-00-00__limit_k-50__include_apac-False,2.049012,2.226518,-0.11986084162139532,True
n2_control::q05_event_deviation,n2_control,q05_event_deviation,a8f3388bb09e719bae97bfc84c4a0a624df5224b1ea226aecb1aec5b26ea4cfe,eu_us_gac,regional_topk_candidates,20260806T002645Z-n3-topology-memory-v1-n2_control__to--a974eff5e4d3--6-06-30-00-00-00-00__limit_k-50__include_apac-False,20260806T002717Z-n3-topology-memory-v1-n2_control__to--ad9bfee6bbd3--6-06-30-00-00-00-00__limit_k-50__include_apac-False,2.049012,0.600448,1.770817217318297,True
