memory_mode,query_occurrence,query_count,available_count,recommendation_count,top1_accuracy,mean_regret_log2,candidate_top1_accuracy,candidate_mean_regret_log2
cold_start,1,15,11,11,0.8181818181818182,0.05632554625324886,0.7142857142857143,0.17038017068193764
cold_start,2,12,12,12,0.8333333333333334,0.049720707331838955,0.8333333333333334,0.049720707331838955
cold_start,3,9,9,9,0.8888888888888888,0.05281416479246554,0.8888888888888888,0.05281416479246554
cold_start,4,6,6,6,1.0,0.0,1.0,0.0
cold_start,5,3,3,3,1.0,0.0,1.0,0.0
cold_start_cross_query,1,15,11,11,0.8181818181818182,0.05632554625324886,0.7142857142857143,0.17038017068193764
cold_start_cross_query,2,12,8,8,0.875,0.032203471981889165,0.75,0.16006599676184133
cold_start_cross_query,3,9,7,7,1.0,0.0,0.7777777777777778,0.17270077745390588
cold_start_cross_query,4,6,4,4,1.0,0.0,0.6666666666666666,0.29465640359981554
cold_start_cross_query,5,3,2,2,1.0,0.0,0.6666666666666666,0.17053413033654227
exact_query_memory,1,15,0,0,,,,
exact_query_memory,2,12,12,12,1.0,0.0,1.0,0.0
exact_query_memory,3,9,9,9,1.0,0.0,1.0,0.0
exact_query_memory,4,6,6,6,1.0,0.0,1.0,0.0
exact_query_memory,5,3,3,3,1.0,0.0,1.0,0.0
hierarchical_cold_start,1,15,11,11,0.8181818181818182,0.05632554625324886,0.7142857142857143,0.17038017068193764
hierarchical_cold_start,2,12,12,12,1.0,0.0,1.0,0.0
hierarchical_cold_start,3,9,9,9,1.0,0.0,1.0,0.0
hierarchical_cold_start,4,6,6,6,1.0,0.0,1.0,0.0
hierarchical_cold_start,5,3,3,3,1.0,0.0,1.0,0.0
hierarchical_warm_start,1,15,14,14,0.8571428571428571,0.04425578634183839,0.8,0.13301257582834058
hierarchical_warm_start,2,12,12,12,1.0,0.0,1.0,0.0
hierarchical_warm_start,3,9,9,9,1.0,0.0,1.0,0.0
hierarchical_warm_start,4,6,6,6,1.0,0.0,1.0,0.0
hierarchical_warm_start,5,3,3,3,1.0,0.0,1.0,0.0
warm_start,1,15,14,14,0.8571428571428571,0.04425578634183839,0.8,0.13301257582834058
warm_start,2,12,12,12,0.9166666666666666,0.021468981321259444,0.9166666666666666,0.021468981321259444
warm_start,3,9,9,9,1.0,0.0,1.0,0.0
warm_start,4,6,6,6,1.0,0.0,1.0,0.0
warm_start,5,3,3,3,1.0,0.0,1.0,0.0
warm_start_cross_query,1,15,14,14,0.8571428571428571,0.04425578634183839,0.8,0.13301257582834058
warm_start_cross_query,2,12,11,11,0.9090909090909091,0.023420706895919394,0.8333333333333334,0.13181427075126181
warm_start_cross_query,3,9,8,8,1.0,0.0,0.8888888888888888,0.11988661266144035
warm_start_cross_query,4,6,5,5,1.0,0.0,0.8333333333333334,0.2189298336750717
warm_start_cross_query,5,3,3,3,1.0,0.0,1.0,0.0
